POR eFG%,PORTOV%,POR ORB%,POR FT/FGA,POR ORtg,Opp eFG%,Opp TOV%,Opp ORB%,Opp FT/FGA,Opp ORtg,Home,Away,Blazers,Opp
0.528,10.7,23.4,0.222,115.4,0.39,9.7,19,0.176,87.3,1,0,115,87
0.601,17.8,26.8,0.202,115.2,0.401,7.8,29.5,0.17,100.6,1,0,118,103
0.494,15,17.6,0.198,98.9,0.417,15.2,24.5,0.345,96,0,1,102,99
0.506,9.6,14.9,0.136,105.2,0.443,11.1,30.9,0.146,103.1,0,1,101,99
0.51,9.6,22.6,0.27,116.4,0.453,6.7,31.1,0.164,111.9,1,0,129,124
0.49,12.8,30.2,0.212,107.8,0.457,12.2,19.6,0.173,98.2,1,0,113,124
0.512,11.9,18.2,0.25,106.4,0.457,9.5,21.2,0.181,102.4,1,0,107,103
0.428,10.5,27.9,0.115,97.5,0.461,14.3,27.7,0.281,103.3,0,1,101,107
0.569,14,17.1,0.253,113.4,0.463,8.9,22.6,0.34,111.6,0,1,121,119
0.562,13.2,31,0.191,116.4,0.471,15.2,16,0.151,93.5,0,1,117,94
0.405,6.9,30.5,0.15,102.2,0.476,9.1,28.3,0.318,115,1,0,96,108
0.5,8.4,29.8,0.258,120.4,0.476,6.6,28.3,0.136,110.5,1,0,122,112
0.489,6.1,24,0.253,114.7,0.479,10.2,20.7,0.156,104.9,0,1,117,107
0.529,9.6,12.2,0.138,105,0.483,11.4,22,0.299,111,0,1,104,110
0.545,6.4,28.9,0.295,129,0.483,10.6,31.8,0.178,108.9,0,1,122,103
0.429,10,16,0.176,95.5,0.489,10.7,24.5,0.118,103.6,1,0,94,102
0.522,10.3,20,0.258,116.1,0.494,8.9,15.2,0.33,111.3,0,1,121,116
0.469,8.5,27.1,0.247,114.4,0.495,7.4,31.4,0.212,118.4,1,0,115,119
0.494,15.9,16.7,0.299,101.1,0.506,12.6,25,0.233,109.2,0,1,99,107
0.596,7.9,25,0.255,134.9,0.506,5.4,15.4,0.341,118,1,0,136,119
0.606,14.5,14.3,0.224,119.5,0.511,14.7,27.1,0.264,109.7,0,1,112,122
0.522,14.8,22.9,0.087,103.9,0.511,11.2,30.2,0.215,114.9,0,1,104,115
0.59,15.1,25,0.225,118,0.516,12.8,18.4,0.16,105.7,1,0,125,112
0.655,11.4,16.2,0.202,128.3,0.521,8.7,26,0.179,117.2,1,0,127,116
0.56,17.7,21.4,0.202,107.7,0.522,16.9,25.6,0.178,106.7,0,1,111,110
0.495,11.8,27.3,0.213,111.6,0.523,14.5,17.5,0.172,104.7,1,0,113,106
0.442,11.1,13.8,0.179,93.1,0.524,8.2,20,0.136,112.5,1,0,101,122
0.454,17.1,27.7,0.241,100.1,0.531,17,23.9,0.272,108.1,1,0,100,108
0.484,10.4,23.4,0.135,109.1,0.533,10.8,30.4,0.174,117.3,1,0,106,114
0.602,12.5,22,0.181,122.3,0.544,7.6,20.8,0.156,119.1,1,0,115,112
0.51,5.1,29.1,0.105,118.9,0.547,8.9,22.2,0.384,128,0,1,118,127
0.568,6.8,18.4,0.117,121.1,0.547,9.3,36,0.198,128.6,0,1,129,137
0.467,11.8,24,0.132,97.9,0.548,8.7,22.9,0.149,118.1,0,1,97,117
0.531,7.1,22.7,0.146,118.3,0.549,8.1,23.8,0.228,124.4,1,0,116,122
0.447,7.4,17.9,0.096,94.4,0.551,6.3,19.6,0.092,118.8,0,1,93,117
0.571,11.2,21.1,0.176,115.3,0.551,11.4,28.9,0.247,123.5,0,1,112,120
0.474,13.8,22.6,0.177,100.3,0.555,12.6,34.7,0.21,122.6,0,1,108,132
0.699,16.8,10.8,0.244,122.7,0.556,8.9,28.9,0.093,123.7,1,0,128,129
0.495,10.7,25,0.176,109.3,0.56,10.8,30,0.313,122.6,0,1,106,119
0.422,8.4,25.5,0.219,104.1,0.567,12.5,35.7,0.169,118.4,0,1,102,116
0.564,14,21.4,0.267,119.4,0.577,8,26.8,0.253,127.3,1,0,120,128
0.529,8.1,17.5,0.093,111,0.58,9.4,34.9,0.136,127.8,0,1,99,114
0.656,12.9,32.4,0.233,138.7,0.586,5.5,16.2,0.215,128.8,1,0,139,129
0.534,9.5,18.2,0.207,116.5,0.622,9.3,25.6,0.111,128.1,0,1,111,122
0.621,10.9,27.5,0.132,129.4,0.634,7.2,27.3,0.161,137.7,1,0,125,133
0.512,13.2,8.7,0.291,103.4,0.641,13.9,9.1,0.318,124.4,1,0,113,136
0.567,11,24.4,0.157,121.3,0.654,9.9,17.9,0.185,127.6,0,1,115,121
0.572,4.5,12.2,0.165,121.1,0.526,14.2,35.8,0.188,113.5,0,1,127,119
0.592,10.7,35,0.163,132.1,0.521,8.4,22.9,0.096,114,1,0,124,107
0.445,8.2,19.1,0.198,101,0.606,11.4,30.8,0.2,129.6,0,1,99,127